ICaLineCode,ICaStationCode,ICaCompanyName,ICaLineName,ICaStationName,ICaNote
0,0,北陸鉄道,金沢駅～円光寺,金沢駅～円光寺,
112,0,北陸鉄道グループ,82 鳴和・増泉,本多町,
503,0,北陸鉄道グループ,寺井庁舎前,金沢駅,
503,4,北陸鉄道グループ,寺井庁舎前,香林坊,
503,5,北陸鉄道グループ,寺井庁舎前,片町,
503,24,北陸鉄道グループ,寺井庁舎前,松任,
920,0,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,香林坊,0920系統循環
920,1,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,片町,0920系統循環
920,2,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,大工町,0920系統循環
920,3,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,タテマチ,0920系統循環
920,4,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,新竪町,0920系統循環
920,5,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,桜橋,0920系統循環
920,6,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,上川除,0920系統循環
920,7,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,菊川町公民館,0920系統循環
920,8,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,川上広見,0920系統循環
920,9,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,犀川大通り,0920系統循環
920,10,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,猿丸児童公園,0920系統循環
920,11,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,二十人坂,0920系統循環
920,12,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,一本松陸橋,0920系統循環
920,13,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,上石引,0920系統循環
920,14,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,小立野下馬,0920系統循環
920,15,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,大学病院,0920系統循環
920,16,北陸鉄道グループ,金沢ふらっとバス 菊川ルート,中石引,0920系統循環
